Applicant_ID,Income,Debt,EMI_Ratio,Late_Payments,Employment,CreditScore,DTI_Ratio,Risk,LoanStatus
A0281,95916,66991,32,4,SelfEmployed,326,0.7,High,Rejected
A0282,43906,75923,52,5,SelfEmployed,300,1.73,High,Rejected
A0283,82787,27500,70,5,Salaried,343,0.33,High,Rejected
A0284,74669,8936,48,5,Salaried,357,0.12,High,Rejected
A0285,52764,54266,23,2,Salaried,300,1.03,High,Rejected
A0286,56437,71619,32,4,Salaried,300,1.27,High,Rejected
A0287,78472,40662,18,2,SelfEmployed,381,0.52,High,Rejected
A0288,53239,52525,17,4,Salaried,300,0.99,High,Rejected
A0289,96623,56546,48,0,SelfEmployed,511,0.59,High,Rejected
A0290,66320,43405,34,3,SelfEmployed,300,0.65,High,Rejected
A0291,33453,71495,29,0,SelfEmployed,300,2.14,High,Rejected
A0292,67787,6966,11,0,SelfEmployed,506,0.1,High,Rejected
A0293,30832,6760,29,3,SelfEmployed,300,0.22,High,Rejected
A0294,56484,7708,64,0,Salaried,490,0.14,High,Rejected
A0295,95698,12193,55,3,Salaried,509,0.13,High,Rejected
A0296,41507,16660,63,3,SelfEmployed,300,0.4,High,Rejected
A0297,69589,25506,40,2,Salaried,410,0.37,High,Rejected
A0298,92072,74129,48,4,SelfEmployed,300,0.81,High,Rejected
A0299,49893,65821,48,1,SelfEmployed,300,1.32,High,Rejected
A0300,24371,71268,48,1,Salaried,300,2.92,High,Rejected
A0301,86285,68461,30,5,Salaried,300,0.79,High,Rejected
A0302,33362,13772,68,2,SelfEmployed,300,0.41,High,Rejected
A0303,63370,57016,50,1,Salaried,321,0.9,High,Rejected
A0304,76770,26544,22,3,Salaried,399,0.35,High,Rejected
A0305,79653,54328,61,4,SelfEmployed,300,0.68,High,Rejected
A0306,76485,47315,64,4,Salaried,303,0.62,High,Rejected
A0307,50302,53115,11,0,Salaried,300,1.06,High,Rejected
A0308,45326,35779,43,5,Salaried,300,0.79,High,Rejected
A0309,28130,19166,66,4,SelfEmployed,300,0.68,High,Rejected
A0310,89625,38424,66,1,SelfEmployed,477,0.43,High,Rejected
A0311,80785,43465,33,4,SelfEmployed,305,0.54,High,Rejected
A0312,81592,35525,21,0,SelfEmployed,488,0.44,High,Rejected
A0313,55311,62582,11,4,Salaried,300,1.13,High,Rejected
A0314,27565,16586,67,1,Salaried,300,0.6,High,Rejected
A0315,36936,57500,54,1,Salaried,300,1.56,High,Rejected
A0316,37733,76706,16,1,SelfEmployed,300,2.03,High,Rejected
A0317,61518,12030,24,5,Salaried,300,0.2,High,Rejected
A0318,81686,23637,46,2,Salaried,468,0.29,High,Rejected
A0319,22304,64462,59,1,Salaried,300,2.89,High,Rejected
A0320,50836,99,64,0,SelfEmployed,467,0.0,High,Rejected
A0321,55801,48148,19,2,Salaried,300,0.86,High,Rejected
A0322,52404,50990,67,1,SelfEmployed,300,0.97,High,Rejected
A0323,78706,46517,42,2,Salaried,397,0.59,High,Rejected
A0324,69495,18987,17,1,Salaried,468,0.27,High,Rejected
A0325,33338,29220,18,4,Salaried,300,0.88,High,Rejected
A0326,37112,28423,40,5,SelfEmployed,300,0.77,High,Rejected
A0327,72534,58065,10,1,SelfEmployed,343,0.8,High,Rejected
A0328,46982,68121,45,1,Salaried,300,1.45,High,Rejected
A0329,25134,32123,29,3,Salaried,300,1.28,High,Rejected
A0330,37414,37817,18,0,SelfEmployed,300,1.01,High,Rejected
A0331,98757,66569,50,1,Salaried,490,0.67,High,Rejected
A0332,37647,62495,13,2,Salaried,300,1.66,High,Rejected
A0333,72702,74060,60,2,SelfEmployed,300,1.02,High,Rejected
A0334,84432,33626,40,5,Salaried,335,0.4,High,Rejected
A0335,55991,5171,26,2,Salaried,417,0.09,High,Rejected
A0336,53124,77472,53,2,Salaried,300,1.46,High,Rejected
A0337,29021,76648,29,0,Salaried,300,2.64,High,Rejected
A0338,70052,51884,40,1,SelfEmployed,347,0.74,High,Rejected
A0339,25795,69629,52,1,Salaried,300,2.7,High,Rejected
A0340,27216,11025,59,0,SelfEmployed,304,0.41,High,Rejected
A0341,67802,56748,42,1,SelfEmployed,319,0.84,High,Rejected
A0342,87097,21601,10,4,SelfEmployed,385,0.25,High,Rejected
A0343,38519,8541,35,4,SelfEmployed,300,0.22,High,Rejected
A0344,30365,5558,27,4,Salaried,300,0.18,High,Rejected
A0345,96290,36645,61,4,SelfEmployed,390,0.38,High,Rejected
A0346,46109,17031,59,5,Salaried,300,0.37,High,Rejected
A0347,56851,53620,36,5,Salaried,300,0.94,High,Rejected
A0348,94004,47534,13,3,SelfEmployed,397,0.51,High,Rejected
A0349,58987,39963,41,2,Salaried,310,0.68,High,Rejected
A0350,79405,28358,15,0,Salaried,526,0.36,High,Rejected
A0351,28428,75550,32,3,Salaried,300,2.66,High,Rejected
A0352,74282,14838,21,1,SelfEmployed,470,0.2,High,Rejected
A0353,42626,4268,28,4,Salaried,300,0.1,High,Rejected
A0354,20798,14496,37,3,Salaried,300,0.7,High,Rejected
A0355,27345,63952,68,1,Salaried,300,2.34,High,Rejected
A0356,99171,53023,55,4,Salaried,400,0.53,High,Rejected
A0357,98432,30825,32,3,SelfEmployed,451,0.31,High,Rejected
A0358,67565,4153,11,2,Salaried,464,0.06,High,Rejected
A0359,56942,79034,50,1,Salaried,300,1.39,High,Rejected
A0360,39678,20992,48,0,SelfEmployed,323,0.53,High,Rejected
A0361,73056,75368,62,3,Salaried,300,1.03,High,Rejected
A0362,83598,3647,63,0,Salaried,603,0.04,High,Rejected
A0363,62316,15,12,3,Salaried,418,0.0,High,Rejected
A0364,65949,57812,17,3,Salaried,300,0.88,High,Rejected
A0365,22467,72899,36,0,Salaried,300,3.24,High,Rejected
A0366,41855,31107,51,0,Salaried,317,0.74,High,Rejected
A0367,68571,41052,62,2,SelfEmployed,330,0.6,High,Rejected
A0368,36815,50182,22,1,Salaried,300,1.36,High,Rejected
A0369,78062,12648,52,5,Salaried,360,0.16,High,Rejected
A0370,26436,17974,70,2,SelfEmployed,300,0.68,High,Rejected
A0371,67575,7054,33,5,Salaried,335,0.1,High,Rejected
A0372,42464,1874,66,5,SelfEmployed,300,0.04,High,Rejected
A0373,37023,34053,22,3,SelfEmployed,300,0.92,High,Rejected
A0374,45768,29107,22,3,SelfEmployed,300,0.64,High,Rejected
A0375,84262,29353,50,4,SelfEmployed,355,0.35,High,Rejected
A0376,35286,73804,51,4,SelfEmployed,300,2.09,High,Rejected
A0377,96978,43644,20,4,Salaried,409,0.45,High,Rejected
A0378,62140,40586,28,3,SelfEmployed,300,0.65,High,Rejected
A0379,99455,12230,61,0,SelfEmployed,613,0.12,High,Rejected
A0380,42547,73439,17,4,SelfEmployed,300,1.73,High,Rejected
A0381,35798,19505,33,0,Salaried,336,0.54,High,Rejected
A0382,37224,74287,59,2,Salaried,300,2.0,High,Rejected
A0383,21594,60524,32,2,Salaried,300,2.8,High,Rejected
A0384,43285,38019,31,1,Salaried,300,0.88,High,Rejected
A0385,21163,9505,53,0,Salaried,304,0.45,High,Rejected
A0386,30668,48209,64,1,Salaried,300,1.57,High,Rejected
A0387,75827,54948,70,1,Salaried,400,0.72,High,Rejected
A0388,59671,8241,43,2,SelfEmployed,391,0.14,High,Rejected
A0389,98832,59175,11,2,SelfEmployed,436,0.6,High,Rejected
A0390,33446,24908,65,4,Salaried,300,0.74,High,Rejected
A0391,97957,1611,22,0,Salaried,659,0.02,Medium,Approved
A0392,34152,15328,36,2,SelfEmployed,300,0.45,High,Rejected
A0393,47995,75627,41,2,Salaried,300,1.58,High,Rejected
A0394,86844,53899,67,1,SelfEmployed,429,0.62,High,Rejected
A0395,26271,67864,70,5,Salaried,300,2.58,High,Rejected
A0396,41078,60140,12,1,Salaried,300,1.46,High,Rejected
A0397,43746,38696,53,1,Salaried,300,0.88,High,Rejected
A0398,71197,30030,39,3,Salaried,364,0.42,High,Rejected
A0399,24192,21456,70,5,SelfEmployed,300,0.89,High,Rejected
A0400,49884,10445,47,3,Salaried,332,0.21,High,Rejected
A0401,76478,19403,32,4,SelfEmployed,346,0.25,High,Rejected
A0402,49912,43338,62,5,Salaried,300,0.87,High,Rejected
A0403,60862,15245,58,5,SelfEmployed,300,0.25,High,Rejected
A0404,82658,6783,27,5,Salaried,392,0.08,High,Rejected
A0405,39754,74825,43,2,SelfEmployed,300,1.88,High,Rejected
A0406,67898,17789,60,0,Salaried,505,0.26,High,Rejected
A0407,54476,64032,68,0,Salaried,300,1.18,High,Rejected
A0408,39505,30008,14,5,SelfEmployed,300,0.76,High,Rejected
A0409,95813,1227,20,2,SelfEmployed,542,0.01,High,Rejected
A0410,97325,32023,51,3,SelfEmployed,444,0.33,High,Rejected
A0411,50338,45140,56,2,Salaried,300,0.9,High,Rejected
A0412,69256,73625,32,0,SelfEmployed,319,1.06,High,Rejected
A0413,77801,4929,63,4,Salaried,419,0.06,High,Rejected
A0414,33326,49423,19,2,Salaried,300,1.48,High,Rejected
A0415,43816,71502,13,4,Salaried,300,1.63,High,Rejected
